ingredient_name,category,irritation_level,skin_oily,skin_dry,skin_combination,skin_sensitive,concern_acne,concern_aging,concern_brightening,concern_dryness,concern_sensitivity,conflict_with,concentration_min,concentration_max,notes
Niacinamide,brightening,0.1,1.0,0.6,0.9,0.9,0.9,0.6,1.0,0.5,0.9,"Vitamin C (high conc)",2,10,Safe for most skin types
Hyaluronic Acid,humectant,0.0,0.6,1.0,0.8,1.0,0.4,0.5,0.4,1.0,1.0,,0.1,2,Attracts moisture; layer under moisturizer
Retinol,anti-aging,0.9,0.6,0.4,0.6,0.2,0.7,1.0,0.5,0.2,0.1,"Vitamin C,Salicylic Acid,Glycolic Acid,Benzoyl Peroxide",0.025,1,PM only; always use SPF next morning
Salicylic Acid,exfoliant_BHA,0.5,1.0,0.3,0.8,0.3,1.0,0.3,0.3,0.3,0.3,"Retinol,Glycolic Acid,Lactic Acid",0.5,2,Oil-soluble; penetrates pores; best for acne
Vitamin C,antioxidant,0.5,0.7,0.7,0.7,0.4,0.5,0.9,1.0,0.4,0.3,"Retinol,Niacinamide (high conc),Benzoyl Peroxide",5,20,AM serum; unstable — store away from light
Ceramide,barrier_repair,0.0,0.5,1.0,0.7,1.0,0.3,0.6,0.3,1.0,1.0,,0.2,2,Restores skin barrier; excellent for sensitive
Glycolic Acid,exfoliant_AHA,0.6,0.8,0.3,0.7,0.2,0.7,0.7,0.6,0.2,0.2,"Retinol,Salicylic Acid,Lactic Acid,Benzoyl Peroxide",5,10,PM only; increases sun sensitivity
Zinc Oxide,sunscreen,0.0,0.8,0.6,0.8,1.0,0.6,0.4,0.3,0.5,0.9,,15,25,Physical sunscreen; safe for sensitive skin
Benzoyl Peroxide,antibacterial,0.7,0.9,0.1,0.6,0.1,1.0,0.1,0.1,0.1,0.1,"Retinol,Vitamin C,Glycolic Acid,Salicylic Acid",2.5,10,Very effective for acne; very drying
Lactic Acid,exfoliant_AHA,0.4,0.6,0.5,0.6,0.4,0.5,0.6,0.5,0.4,0.3,"Salicylic Acid,Glycolic Acid,Retinol",5,10,Gentler AHA; also hydrating
Azelaic Acid,brightening,0.2,0.8,0.5,0.8,0.7,0.9,0.4,0.8,0.4,0.6,,10,20,Anti-inflammatory; good for rosacea and acne
Kojic Acid,brightening,0.3,0.6,0.5,0.6,0.4,0.3,0.3,0.9,0.3,0.3,,1,4,Targets hyperpigmentation
Alpha Arbutin,brightening,0.1,0.7,0.6,0.7,0.8,0.3,0.4,1.0,0.5,0.7,,0.5,2,Stable brightening agent; gentle
